"sample_molecule_ch1","sample_molecule_ch2","sample_source_name_ch1","sample_status","sample_library_selection","sample_library_source","sample_extract_protocol_ch1","sample_extract_protocol_ch2","sample_label_protocol_ch1","sample_source_name_ch2","sample_library_strategy","sample_characteristics_ch2","sample_label_protocol_ch2","sample_label_protocol","sample_series_id","sample_data_processing","sample_description","sample_characteristics_ch1","sample_organism_ch1","tissue","sample_type","sample_title","sample_name","sample_hyb_protocol","sample_label_ch2","disease_state","ethnicity","time_point","tmprss2","treatment","cancer_status","tissuer_type","tumor_type","age","gleason_score","pathologic_tumor_stage","gleason_grade","t.stage","margin_status","preop_psa","bcr","bcr_free_time"
"total RNA",NA,"Immortalized primary human prostate cancer associated fibroblasts (PF179TCAF) w/ shGR treated with DMSO","Public on Jun 01 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE150432",NA,"gene expression profiling of treated CAFs",NA,"Homo sapiens",NA,"RNA","PF179TCAF-shGR-1_DMSO_rep1","pf179tcaf-shgr-1_dmso_rep1",NA,NA,NA,NA,NA,NA,"DMSO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"Immortalized primary human prostate cancer associated fibroblasts (PF179TCAF) w/ shGR treated with DMSO","Public on Jun 01 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE150432",NA,"gene expression profiling of treated CAFs",NA,"Homo sapiens",NA,"RNA","PF179TCAF-shGR-1_DMSO_rep2","pf179tcaf-shgr-1_dmso_rep2",NA,NA,NA,NA,NA,NA,"DMSO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"Immortalized primary human prostate cancer associated fibroblasts (PF179TCAF) w/ shGR treated with DMSO","Public on Jun 01 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE150432",NA,"gene expression profiling of treated CAFs",NA,"Homo sapiens",NA,"RNA","PF179TCAF-shGR-1_DMSO_rep3","pf179tcaf-shgr-1_dmso_rep3",NA,NA,NA,NA,NA,NA,"DMSO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"Immortalized primary human prostate cancer associated fibroblasts (PF179TCAF) w/ shGR treated with Dex","Public on Jun 01 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE150432",NA,"gene expression profiling of treated CAFs",NA,"Homo sapiens",NA,"RNA","PF179TCAF-shGR-1_Dex_rep1","pf179tcaf-shgr-1_dex_rep1",NA,NA,NA,NA,NA,NA,"Dexamethasone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"Immortalized primary human prostate cancer associated fibroblasts (PF179TCAF) w/ shGR treated with Dex","Public on Jun 01 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE150432",NA,"gene expression profiling of treated CAFs",NA,"Homo sapiens",NA,"RNA","PF179TCAF-shGR-1_Dex_rep2","pf179tcaf-shgr-1_dex_rep2",NA,NA,NA,NA,NA,NA,"Dexamethasone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"Immortalized primary human prostate cancer associated fibroblasts (PF179TCAF) w/ shGR treated with Dex","Public on Jun 01 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE150432",NA,"gene expression profiling of treated CAFs",NA,"Homo sapiens",NA,"RNA","PF179TCAF-shGR-1_Dex_rep3","pf179tcaf-shgr-1_dex_rep3",NA,NA,NA,NA,NA,NA,"Dexamethasone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"Immortalized primary human prostate cancer associated fibroblasts (PF179TCAF) w/ shGR treated with Dox+Dex","Public on Jun 01 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE150432",NA,"gene expression profiling of treated CAFs",NA,"Homo sapiens",NA,"RNA","PF179TCAF-shGR-1_Dox+Dex_rep1","pf179tcaf-shgr-1_dox+dex_rep1",NA,NA,NA,NA,NA,NA,"Doxycycline+Dexamethasone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"Immortalized primary human prostate cancer associated fibroblasts (PF179TCAF) w/ shGR treated with Dox+Dex","Public on Jun 01 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE150432",NA,"gene expression profiling of treated CAFs",NA,"Homo sapiens",NA,"RNA","PF179TCAF-shGR-1_Dox+Dex_rep2","pf179tcaf-shgr-1_dox+dex_rep2",NA,NA,NA,NA,NA,NA,"Doxycycline+Dexamethasone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"Immortalized primary human prostate cancer associated fibroblasts (PF179TCAF) w/ shGR treated with Dox+Dex","Public on Jun 01 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE150432",NA,"gene expression profiling of treated CAFs",NA,"Homo sapiens",NA,"RNA","PF179TCAF-shGR-1_Dox+Dex_rep3","pf179tcaf-shgr-1_dox+dex_rep3",NA,NA,NA,NA,NA,NA,"Doxycycline+Dexamethasone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"Immortalized primary human prostate cancer associated fibroblasts (PF179TCAF) w/ shGR treated with RU486+Dex","Public on Jun 01 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE150432",NA,"gene expression profiling of treated CAFs",NA,"Homo sapiens",NA,"RNA","PF179TCAF-shGR-1_RU486+Dex_rep1","pf179tcaf-shgr-1_ru486+dex_rep1",NA,NA,NA,NA,NA,NA,"RU486+Dexamethasone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
